RecordID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
14,2008-12-15,Albury,8.4,24.6,0.0,,,,,S,WNW,4.0,30.0,57.0,32.0,1009.7,1008.7,,,15.9,23.5,No,
15,2008-12-16,Albury,9.8,27.7,,,,WNW,50.0,,WNW,,22.0,50.0,28.0,1013.4,1010.3,0.0,,17.3,26.2,,No
16,2008-12-17,Albury,14.1,20.9,0.0,,,ENE,22.0,SSW,E,11.0,9.0,69.0,82.0,1012.2,1010.4,8.0,1.0,17.2,18.1,No,Yes
17,2008-12-18,Albury,13.5,22.9,16.8,,,W,63.0,N,WNW,6.0,20.0,80.0,65.0,1005.8,1002.2,8.0,1.0,18.0,21.5,Yes,Yes
18,2008-12-19,Albury,11.2,22.5,10.6,,,SSE,43.0,WSW,SW,24.0,17.0,47.0,32.0,1009.4,1009.7,,2.0,15.5,21.0,Yes,No
19,2008-12-20,Albury,9.8,25.6,0.0,,,SSE,26.0,SE,NNW,17.0,6.0,45.0,26.0,1019.2,1017.1,,,15.8,23.2,No,No
20,2009-01-01,BadgerysCreek,13.3,34.2,0.0,,,W,61.0,NNE,,11.0,,67.0,,1005.6,,,,21.0,,No,No
21,2009-01-02,BadgerysCreek,14.7,26.1,0.0,,,SE,46.0,SE,SE,7.0,24.0,59.0,54.0,1012.9,1013.5,,,20.7,22.2,No,No
22,2009-01-03,BadgerysCreek,13.6,22.3,0.0,,,NNE,30.0,ESE,NE,6.0,15.0,57.0,51.0,1021.9,1019.2,,,17.9,21.7,No,No
23,2009-01-04,BadgerysCreek,17.7,31.2,0.0,,,NE,39.0,NNE,N,9.0,15.0,62.0,43.0,1018.7,1013.6,,,22.0,30.6,No,No
24,2009-01-05,BadgerysCreek,15.5,38.8,0.0,,,SW,50.0,NNE,W,7.0,17.0,67.0,19.0,1013.2,1007.6,,,22.7,37.6,No,No
25,2009-01-06,BadgerysCreek,14.0,39.3,0.0,,,ESE,35.0,N,ENE,6.0,15.0,56.0,13.0,1011.9,1006.9,,,24.2,38.0,No,No
26,2009-01-07,BadgerysCreek,15.3,40.3,0.0,,,W,63.0,N,WNW,6.0,30.0,69.0,19.0,1010.1,1004.6,,,23.3,39.8,No,No
27,2009-01-08,BadgerysCreek,18.9,22.3,0.0,,,SE,31.0,SSE,SE,11.0,19.0,75.0,70.0,1012.7,1013.6,,,20.5,20.1,No,No
28,2009-01-09,BadgerysCreek,14.8,22.4,0.4,,,E,33.0,SSE,E,15.0,19.0,65.0,46.0,1020.6,1018.8,,,17.6,21.1,No,No
29,2009-01-10,BadgerysCreek,11.9,26.0,0.2,,,ENE,37.0,SSW,ENE,4.0,13.0,63.0,43.0,1017.2,1013.2,,,18.0,24.2,No,No
30,2009-01-11,BadgerysCreek,12.6,30.2,0.0,,,E,41.0,N,E,7.0,19.0,61.0,40.0,1014.3,1010.1,,,21.6,29.0,No,Yes
31,2009-01-12,BadgerysCreek,15.3,29.4,4.0,,,ESE,37.0,SW,ESE,4.0,22.0,78.0,50.0,1016.0,1015.8,,,21.2,27.7,Yes,No
32,2009-01-13,BadgerysCreek,18.4,32.7,0.0,,,NNE,39.0,NNE,ENE,7.0,17.0,83.0,40.0,1019.7,1015.3,,,21.5,30.5,No,No
33,2009-01-14,BadgerysCreek,15.9,39.9,0.0,,,ENE,50.0,ENE,NE,6.0,13.0,70.0,21.0,1014.7,1009.6,,,23.9,39.2,No,No
34,2009-01-15,BadgerysCreek,18.0,42.9,0.0,,,SE,50.0,E,WSW,7.0,17.0,43.0,16.0,1009.3,1005.5,,,29.1,40.7,No,No
35,2009-01-16,BadgerysCreek,14.6,34.5,0.4,,,SE,50.0,SE,NNE,7.0,15.0,50.0,22.0,1013.0,1007.5,,,21.4,33.9,No,No
36,2009-01-17,BadgerysCreek,15.5,23.7,0.0,,,ESE,33.0,SSE,E,15.0,15.0,53.0,38.0,1020.9,1020.1,,,17.6,21.8,No,No
37,2009-01-18,BadgerysCreek,10.3,28.7,0.0,,,E,37.0,,NE,0.0,9.0,58.0,28.0,1022.1,1018.8,,,19.9,27.6,No,No
38,2009-01-19,BadgerysCreek,11.3,33.5,0.0,,,NE,35.0,NNE,NNE,9.0,19.0,63.0,18.0,1019.4,1013.9,,,19.9,30.3,No,No
39,2009-01-20,BadgerysCreek,14.6,39.2,0.0,,,ENE,43.0,W,NNE,4.0,20.0,61.0,20.0,1014.0,1008.9,,,23.4,37.8,No,No
40,2009-01-01,Cobar,17.9,35.2,0.0,12.0,12.3,SSW,48.0,ENE,SW,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,No,No
41,2009-01-02,Cobar,18.4,28.9,0.0,14.8,13.0,S,37.0,SSE,SSE,19.0,19.0,30.0,8.0,1012.9,1012.1,1.0,1.0,20.3,27.0,No,No
42,2009-01-03,Cobar,15.5,34.1,0.0,12.6,13.3,SE,30.0,,N,,7.0,,7.0,,1011.6,,1.0,,32.7,No,No
43,2009-01-04,Cobar,19.4,37.6,0.0,10.8,10.6,NNE,46.0,NNE,NNW,30.0,15.0,42.0,22.0,1012.3,1009.2,1.0,6.0,28.7,34.9,No,No
44,2009-01-05,Cobar,21.9,38.4,0.0,11.4,12.2,WNW,31.0,WNW,WSW,6.0,6.0,37.0,22.0,1012.7,1009.1,1.0,5.0,29.1,35.6,No,No
45,2009-01-06,Cobar,24.2,41.0,0.0,11.2,8.4,WNW,35.0,NW,WNW,17.0,13.0,19.0,15.0,1010.7,1007.4,1.0,6.0,33.6,37.6,No,No
46,2009-01-07,Cobar,27.1,36.1,0.0,13.0,0.0,N,43.0,N,WNW,7.0,20.0,26.0,19.0,1007.7,1007.4,8.0,8.0,30.7,34.3,No,No
47,2009-01-08,Cobar,23.3,34.0,0.0,9.8,12.6,SSW,41.0,S,SSE,17.0,19.0,33.0,15.0,1011.3,1009.9,3.0,1.0,25.0,31.5,No,No
48,2009-01-09,Cobar,16.1,34.2,0.0,14.6,13.2,SE,37.0,SE,S,15.0,6.0,25.0,9.0,1013.3,1009.2,1.0,1.0,20.7,32.8,No,No
49,2009-01-10,Cobar,19.0,35.5,0.0,12.0,12.3,ENE,48.0,ENE,WSW,30.0,9.0,46.0,28.0,1008.3,1004.0,1.0,5.0,23.4,33.3,No,No
50,2009-01-11,Cobar,19.7,35.5,0.0,11.0,12.7,NE,41.0,NNE,WSW,15.0,17.0,61.0,14.0,1007.9,1005.8,1.0,5.0,24.0,33.6,No,No
51,2009-01-12,Cobar,20.9,37.8,0.0,12.8,13.2,E,30.0,SE,ENE,11.0,7.0,27.0,9.0,1012.6,1010.1,0.0,1.0,29.8,36.4,No,No
52,2009-01-13,Cobar,23.9,39.1,0.0,13.8,12.1,ENE,39.0,NE,N,24.0,9.0,40.0,15.0,1013.6,1010.4,0.0,2.0,29.1,37.0,No,No
53,2009-01-14,Cobar,24.9,41.2,0.0,14.8,13.0,SSW,43.0,N,NNW,17.0,11.0,25.0,15.0,1012.9,1010.1,1.0,3.0,31.5,38.1,No,No
54,2009-01-15,Cobar,25.2,40.5,0.0,16.4,10.3,SW,44.0,W,SW,13.0,22.0,24.0,15.0,1012.4,1009.0,4.0,6.0,31.4,37.8,No,No
55,2009-01-16,Cobar,21.6,34.2,0.0,17.4,13.1,SW,44.0,S,S,17.0,19.0,19.0,8.0,1014.1,1012.3,0.0,0.0,25.0,32.2,No,No
56,2009-01-17,Cobar,18.4,31.8,0.0,16.0,12.9,S,33.0,S,SW,17.0,15.0,25.0,5.0,1016.3,1013.8,0.0,1.0,19.9,30.3,No,No
57,2009-01-18,Cobar,17.9,34.2,0.0,12.0,11.3,SE,61.0,NE,SE,22.0,17.0,46.0,19.0,1016.4,1013.5,1.0,2.0,21.6,32.2,No,No
58,2009-01-19,Cobar,21.4,37.5,0.0,14.8,6.9,NNE,43.0,ENE,NNE,26.0,9.0,34.0,29.0,1013.1,1009.6,7.0,6.0,26.2,34.1,No,Yes
59,2009-01-20,Cobar,23.3,39.4,4.8,12.0,10.9,W,59.0,N,NW,19.0,17.0,54.0,14.0,1011.1,1008.5,1.0,7.0,27.0,37.0,Yes,No
60,2009-01-01,CoffsHarbour,16.1,31.4,0.0,7.4,11.4,NNE,54.0,N,NNE,7.0,37.0,51.0,58.0,1005.9,1002.3,1.0,5.0,26.5,28.4,No,No
61,2009-01-02,CoffsHarbour,22.8,24.7,0.0,8.0,0.2,SSW,56.0,SSW,S,35.0,15.0,68.0,67.0,1010.9,1011.4,7.0,7.0,23.4,24.4,No,Yes
62,2009-01-03,CoffsHarbour,20.0,24.1,4.6,3.4,0.2,SE,35.0,SE,E,20.0,19.0,70.0,59.0,1019.3,1018.8,8.0,7.0,21.7,23.7,Yes,No
63,2009-01-04,CoffsHarbour,14.8,25.0,0.8,3.0,12.6,E,24.0,SSE,ESE,7.0,17.0,62.0,45.0,1019.5,1017.0,5.0,2.0,22.5,24.8,No,No
64,2009-01-05,CoffsHarbour,15.5,27.3,0.0,6.6,13.1,NE,41.0,NW,NE,7.0,30.0,54.0,62.0,1015.7,1012.7,1.0,6.0,24.6,26.1,No,No
65,2009-01-06,CoffsHarbour,19.8,30.2,0.0,5.4,13.4,NNE,54.0,NW,NE,24.0,39.0,55.0,58.0,1012.9,1011.0,0.0,1.0,27.1,27.3,No,No
66,2009-01-07,CoffsHarbour,22.7,29.6,0.0,8.0,9.8,NNE,56.0,NNW,NNE,20.0,37.0,60.0,66.0,1012.3,1009.7,5.0,5.0,26.7,27.1,No,No
67,2009-01-08,CoffsHarbour,22.7,29.2,0.0,6.4,1.9,SSW,44.0,NW,NNE,9.0,20.0,70.0,71.0,1009.4,1008.8,7.0,8.0,25.8,26.4,No,Yes
68,2009-01-09,CoffsHarbour,19.5,21.4,7.8,4.2,0.2,S,56.0,SSW,SSE,26.0,28.0,85.0,73.0,1015.7,1015.9,8.0,8.0,20.0,21.1,Yes,Yes
69,2009-01-10,CoffsHarbour,16.9,24.2,3.2,2.6,12.0,SW,30.0,SW,SE,20.0,15.0,59.0,47.0,1015.5,1013.5,2.0,2.0,21.2,23.3,Yes,No
70,2009-01-11,CoffsHarbour,13.7,25.5,0.0,6.2,12.2,E,26.0,SW,ESE,13.0,15.0,55.0,63.0,1013.7,1012.0,2.0,2.0,23.2,24.5,No,No
71,2009-01-12,CoffsHarbour,17.5,27.4,0.0,5.6,12.0,E,31.0,E,E,11.0,19.0,67.0,63.0,1014.5,1014.3,5.0,3.0,24.8,26.0,No,No
72,2009-01-13,CoffsHarbour,17.7,27.0,0.0,5.6,10.8,E,28.0,SSW,E,15.0,20.0,64.0,62.0,1019.1,1017.2,3.0,1.0,24.2,26.1,No,No
73,2009-01-14,CoffsHarbour,16.9,27.4,0.0,6.6,13.2,N,43.0,NNW,NNE,13.0,30.0,58.0,49.0,1017.8,1015.9,3.0,1.0,24.9,26.1,No,No
74,2009-01-15,CoffsHarbour,19.1,32.2,0.0,7.6,13.2,NNE,61.0,NNW,NNE,31.0,46.0,50.0,57.0,1013.9,1010.4,0.0,1.0,25.1,27.6,No,No
75,2009-01-16,CoffsHarbour,21.0,27.5,0.0,7.8,10.8,SSW,39.0,SSE,E,6.0,15.0,68.0,74.0,1011.0,1008.8,3.0,5.0,26.3,26.5,No,Yes
76,2009-01-17,CoffsHarbour,19.0,21.3,6.4,4.8,0.3,S,50.0,SSW,S,19.0,30.0,93.0,84.0,1016.6,1017.8,8.0,8.0,19.1,19.3,Yes,Yes
77,2009-01-18,CoffsHarbour,14.8,23.1,7.2,1.6,2.8,SW,28.0,SW,SE,17.0,9.0,69.0,57.0,1021.2,1020.1,6.0,7.0,20.9,21.7,Yes,No
78,2009-01-19,CoffsHarbour,14.3,25.9,0.0,4.0,11.2,NNE,44.0,NNW,NE,7.0,31.0,59.0,55.0,1019.9,1016.8,5.0,7.0,22.3,23.9,No,No
79,2009-01-20,CoffsHarbour,20.2,28.5,0.0,5.4,8.0,NNE,59.0,NNW,NNE,17.0,39.0,64.0,60.0,1016.9,1014.0,7.0,5.0,23.4,26.4,No,No
80,2009-01-01,Moree,16.4,38.7,0.0,12.2,9.3,NW,54.0,N,WNW,15.0,28.0,27.0,11.0,1005.5,1003.3,6.0,8.0,28.9,37.4,No,No
81,2009-01-02,Moree,22.3,30.3,0.0,11.2,3.0,NNE,30.0,NNE,N,19.0,15.0,68.0,40.0,1009.5,1009.0,6.0,7.0,25.2,29.4,No,No
82,2009-01-03,Moree,21.2,33.3,0.0,6.2,11.7,ENE,46.0,ENE,ENE,22.0,22.0,57.0,31.0,1014.9,1012.2,6.0,5.0,24.5,32.7,No,No
83,2009-01-04,Moree,16.4,33.5,0.0,11.2,13.3,ENE,39.0,NE,ENE,20.0,20.0,51.0,28.0,1016.9,1012.2,1.0,3.0,22.9,31.9,No,No
84,2009-01-05,Moree,19.2,34.5,0.0,12.6,13.4,SE,35.0,ENE,S,19.0,11.0,44.0,22.0,1015.1,1010.6,1.0,6.0,24.2,32.9,No,No
85,2009-01-06,Moree,21.3,36.8,0.0,10.8,12.4,SSE,33.0,NNE,NE,24.0,9.0,54.0,26.0,1013.6,1009.1,1.0,5.0,25.4,34.6,No,No
86,2009-01-07,Moree,22.2,34.5,0.0,10.0,7.6,NNE,39.0,NNE,N,26.0,7.0,56.0,23.0,1012.7,1008.5,7.0,7.0,25.2,32.5,No,No
87,2009-01-08,Moree,23.7,36.4,0.0,8.6,7.7,ENE,46.0,NNE,ENE,24.0,9.0,46.0,31.0,1009.6,1007.0,7.0,5.0,26.3,34.3,No,No
88,2009-01-09,Moree,20.4,34.3,0.0,12.0,6.8,SSW,69.0,E,SE,26.0,7.0,53.0,31.0,1011.2,1008.0,5.0,5.0,26.3,32.1,No,Yes
89,2009-01-10,Moree,16.0,32.1,9.2,9.8,9.6,SW,76.0,,N,,9.0,51.0,29.0,1012.0,1007.3,2.0,5.0,21.1,30.4,Yes,Yes
90,2009-01-11,Moree,18.2,33.0,3.4,8.6,11.8,SW,76.0,NNE,NNE,24.0,13.0,56.0,37.0,1011.2,1008.0,1.0,5.0,22.5,30.3,Yes,No
91,2009-01-12,Moree,21.5,34.6,0.0,8.0,9.8,ENE,41.0,NNE,NE,26.0,11.0,55.0,26.0,1013.3,1010.1,5.0,5.0,25.5,33.7,No,No
92,2009-01-13,Moree,21.2,35.9,0.0,10.4,13.1,ENE,43.0,ENE,E,19.0,15.0,47.0,19.0,1016.3,1012.3,1.0,3.0,25.4,34.3,No,No
93,2009-01-14,Moree,19.5,35.0,0.0,13.4,13.2,NE,39.0,NE,NE,24.0,11.0,47.0,24.0,1016.8,1012.7,1.0,1.0,24.3,33.0,No,No
94,2009-01-15,Moree,20.5,36.1,0.0,12.2,13.2,NNE,43.0,NNE,NNE,30.0,11.0,48.0,24.0,1015.5,1011.4,0.0,1.0,24.4,33.2,No,No
95,2009-01-16,Moree,21.1,40.1,0.0,12.8,12.9,WSW,48.0,N,NW,22.0,17.0,32.0,15.0,1011.5,1007.6,2.0,3.0,28.1,38.2,No,No
96,2009-01-17,Moree,15.0,35.6,0.0,16.8,13.3,E,57.0,SSE,WSW,9.0,24.0,32.0,11.0,1011.7,1009.4,0.0,1.0,25.6,34.2,No,No
97,2009-01-18,Moree,18.5,33.3,0.0,13.8,12.2,ENE,48.0,NE,E,24.0,11.0,51.0,36.0,1018.1,1014.4,5.0,4.0,22.4,30.7,No,No
98,2009-01-19,Moree,19.7,31.6,0.0,12.2,3.7,NE,52.0,NE,N,30.0,17.0,52.0,35.0,1017.8,1013.4,8.0,8.0,22.5,30.7,No,No
99,2009-01-20,Moree,22.1,33.6,0.0,10.4,5.2,NNE,44.0,NNE,N,30.0,11.0,48.0,29.0,1016.6,1012.7,7.0,6.0,24.6,32.2,No,No
100,2008-12-01,Newcastle,13.2,,0.0,,,,,NW,NW,6.0,19.0,50.0,24.0,,,3.0,4.0,21.8,30.6,No,No
101,2008-12-02,Newcastle,,32.2,0.0,,,,,,NE,,19.0,,59.0,,,,0.0,,25.4,No,No
102,2008-12-03,Newcastle,16.2,32.2,0.0,,,,,N,SE,2.0,2.0,74.0,26.0,,,4.0,4.0,22.2,32.0,No,No
103,2008-12-04,Newcastle,19.2,24.0,0.0,,,,,SE,SE,22.0,22.0,66.0,61.0,,,7.0,5.0,20.4,23.0,No,No
104,2008-12-05,Newcastle,18.8,30.2,0.0,,,,,NE,,4.0,,85.0,,,,8.0,,20.0,,No,No
105,2008-12-06,Newcastle,19.8,34.2,0.0,,,,,NW,NW,4.0,7.0,56.0,39.0,,,6.0,7.0,29.2,31.8,No,No
106,2008-12-07,Newcastle,19.4,27.8,0.0,,,,,,SE,0.0,6.0,91.0,39.0,,,8.0,4.0,20.8,27.0,No,No
107,2008-12-08,Newcastle,,26.2,0.0,,,,,,NE,,22.0,,71.0,,,,7.0,,22.2,No,No
108,2008-12-09,Newcastle,15.6,29.4,0.0,,,,,NE,NW,4.0,19.0,78.0,53.0,,,1.0,3.0,21.2,28.2,No,No
109,2008-12-10,Newcastle,19.2,26.4,0.0,,,,,SE,,22.0,,63.0,,,,0.0,,25.8,,No,No
110,2008-12-11,Newcastle,19.4,21.4,0.0,,,,,NE,SE,2.0,9.0,83.0,72.0,,,8.0,8.0,19.6,20.0,No,No
111,2008-12-12,Newcastle,18.0,22.4,0.4,,,,,NE,NE,4.0,9.0,87.0,96.0,,,8.0,8.0,18.8,18.8,No,Yes
112,2008-12-13,Newcastle,18.2,31.6,29.8,,,,,,NW,0.0,50.0,95.0,51.0,,,8.0,7.0,22.2,28.8,Yes,No
113,2008-12-14,Newcastle,18.2,27.2,1.0,,,,,SW,NW,19.0,46.0,55.0,39.0,,,3.0,3.0,22.0,25.4,No,No
114,2008-12-15,Newcastle,16.6,22.8,0.0,,,,,S,SE,9.0,28.0,42.0,49.0,,,4.0,1.0,20.4,21.8,No,No
115,2008-12-16,Newcastle,11.6,27.0,0.0,,,,,,NE,0.0,4.0,72.0,51.0,,,0.0,1.0,18.8,26.0,No,No
116,2008-12-17,Newcastle,14.4,29.0,0.0,,,,,,SE,0.0,7.0,51.0,44.0,,,2.0,1.0,23.2,28.2,No,No
117,2008-12-18,Newcastle,17.6,34.0,0.0,,,,,SE,SE,4.0,56.0,91.0,34.0,,,2.0,7.0,20.0,31.0,No,Yes
118,2008-12-19,Newcastle,18.0,26.6,1.2,,,,,,SE,0.0,46.0,71.0,98.0,,,1.0,2.0,22.4,23.0,Yes,No
119,2008-12-20,Newcastle,17.6,21.6,0.0,,,,,S,SE,19.0,9.0,96.0,96.0,,,6.0,5.0,19.4,20.8,No,No
120,2009-01-01,NorahHead,17.9,28.1,0.0,,,SSW,63.0,NW,NE,9.0,24.0,69.0,69.0,1005.3,1001.7,,,23.7,25.9,No,No
121,2009-01-02,NorahHead,19.1,23.8,0.0,,,S,69.0,SSE,SE,15.0,28.0,62.0,62.0,1012.5,1012.8,,,22.6,23.0,No,No
122,2009-01-03,NorahHead,17.1,23.0,0.0,,,NNE,52.0,E,NE,19.0,19.0,61.0,62.0,1021.1,1019.1,,,20.0,22.1,No,No
123,2009-01-04,NorahHead,19.7,25.0,0.0,,,NE,61.0,NNE,NE,39.0,46.0,70.0,68.0,1018.4,1015.2,,,22.8,23.7,No,No
124,2009-01-05,NorahHead,18.5,25.9,0.0,,,NNE,48.0,NNE,NE,20.0,35.0,73.0,73.0,1013.4,1009.0,,,22.8,23.7,No,No
125,2009-01-06,NorahHead,19.8,26.5,0.0,,,N,43.0,S,NE,28.0,20.0,92.0,80.0,1011.8,1008.7,,,20.1,24.3,No,No
126,2009-01-07,NorahHead,20.0,27.7,0.0,,,S,44.0,S,NNE,24.0,15.0,85.0,82.0,1010.1,1006.3,,,21.9,23.7,No,No
127,2009-01-08,NorahHead,20.4,22.3,0.0,,,SSE,57.0,S,SSE,35.0,41.0,86.0,81.0,1011.3,1012.3,,,21.0,20.6,No,Yes
128,2009-01-09,NorahHead,17.5,22.8,2.8,,,SSE,59.0,SSE,SE,43.0,30.0,64.0,59.0,1019.0,1018.3,,,19.3,20.9,Yes,No
129,2009-01-10,NorahHead,18.4,25.6,0.0,,,NE,50.0,NNE,ENE,19.0,22.0,62.0,51.0,1016.8,1013.8,,,20.9,23.4,No,No
130,2009-01-11,NorahHead,19.6,27.3,0.0,,,NE,43.0,NNE,ENE,19.0,30.0,69.0,66.0,1013.8,1011.6,,,23.0,24.0,No,No
131,2009-01-12,NorahHead,19.0,26.2,1.0,,,ENE,31.0,SSW,,13.0,,84.0,,1015.2,,,,22.1,,No,No
132,2009-01-13,NorahHead,20.1,27.8,0.2,,,NE,54.0,NE,NE,17.0,31.0,75.0,66.0,1019.3,1016.9,,,24.4,25.2,No,No
133,2009-01-14,NorahHead,19.8,26.7,0.0,,,NE,52.0,NNE,NE,22.0,41.0,78.0,69.0,1015.1,1011.5,,,23.3,25.1,No,No
134,2009-01-15,NorahHead,20.2,27.7,0.0,,,S,69.0,NNE,,30.0,,79.0,,1009.6,,,,23.7,,No,Yes
135,2009-01-16,NorahHead,19.0,24.7,10.4,,,SSE,57.0,SSW,ESE,11.0,20.0,78.0,69.0,1012.9,1009.5,,,20.4,23.3,Yes,Yes
136,2009-01-17,NorahHead,18.0,21.1,1.2,,,SSE,61.0,SSE,SSE,48.0,43.0,65.0,63.0,1019.4,1019.8,,,18.9,20.4,Yes,No
137,2009-01-18,NorahHead,14.5,23.8,0.0,,,NNE,41.0,SSW,E,11.0,22.0,66.0,54.0,1021.7,1020.1,,,20.1,22.7,No,No
138,2009-01-19,NorahHead,17.2,26.2,0.0,,,NNE,54.0,NNE,NE,30.0,35.0,65.0,67.0,1019.3,1015.5,,,22.9,24.7,No,No
139,2009-01-20,NorahHead,18.9,26.7,0.0,,,NE,48.0,NNE,NE,20.0,37.0,74.0,71.0,1014.2,1010.7,,,23.5,25.5,No,No
140,2009-01-01,NorfolkIsland,20.4,25.8,0.0,6.0,12.4,NNW,31.0,NNW,NW,13.0,19.0,84.0,71.0,1014.5,1013.6,3.0,1.0,23.3,24.7,No,No
141,2009-01-02,NorfolkIsland,20.9,26.7,0.2,8.0,10.3,N,31.0,NNE,NE,15.0,6.0,79.0,77.0,1016.3,1015.5,2.0,5.0,25.0,25.1,No,No
142,2009-01-03,NorfolkIsland,22.3,26.3,0.0,3.2,2.0,E,35.0,ENE,SE,6.0,19.0,87.0,90.0,1014.6,1014.3,7.0,7.0,24.7,23.8,No,Yes
143,2009-01-04,NorfolkIsland,21.6,22.2,1.2,2.8,0.0,ESE,41.0,ESE,ESE,20.0,22.0,92.0,95.0,1016.0,1015.3,8.0,8.0,22.1,21.2,Yes,Yes
144,2009-01-05,NorfolkIsland,20.4,23.5,2.6,2.2,2.9,ESE,52.0,ESE,ESE,24.0,28.0,86.0,86.0,1015.3,1013.7,7.0,7.0,21.8,21.6,Yes,No
145,2009-01-06,NorfolkIsland,20.4,24.4,0.0,3.0,8.7,E,48.0,ESE,ESE,30.0,24.0,84.0,79.0,1014.5,1012.7,5.0,3.0,21.4,23.3,No,No
146,2009-01-07,NorfolkIsland,20.2,24.2,0.0,7.2,6.0,ESE,52.0,ESE,ESE,28.0,31.0,86.0,79.0,1014.1,1013.0,6.0,2.0,21.9,23.3,No,No
147,2009-01-08,NorfolkIsland,20.5,24.0,0.0,4.4,6.0,E,52.0,ESE,SE,28.0,28.0,82.0,82.0,1011.5,1009.4,6.0,6.0,22.5,22.8,No,No
148,2009-01-09,NorfolkIsland,20.9,22.0,0.0,5.0,0.0,SSE,61.0,SSE,SSE,28.0,33.0,92.0,95.0,1003.9,1000.4,8.0,8.0,21.9,21.6,No,Yes
149,2009-01-10,NorfolkIsland,18.5,23.1,45.2,15.0,3.0,SE,81.0,SE,ESE,46.0,33.0,77.0,64.0,1001.7,1001.2,7.0,6.0,19.8,22.1,Yes,No
150,2009-01-11,NorfolkIsland,19.7,22.8,0.4,5.4,1.2,SE,54.0,SE,SE,30.0,28.0,83.0,82.0,1006.4,1006.9,7.0,7.0,21.6,22.1,No,No
151,2009-01-12,NorfolkIsland,19.8,23.8,0.0,4.0,12.0,SE,37.0,SE,SE,24.0,22.0,78.0,78.0,1011.2,1010.5,5.0,5.0,21.6,22.0,No,No
152,2009-01-13,NorfolkIsland,19.2,23.2,0.0,7.2,7.1,SSE,35.0,S,SE,22.0,20.0,77.0,77.0,1011.4,1010.4,7.0,7.0,21.2,22.0,No,Yes
153,2009-01-14,NorfolkIsland,17.3,22.5,1.6,5.0,10.4,SSE,46.0,SSE,SE,26.0,22.0,74.0,55.0,1013.2,1012.4,4.0,1.0,19.9,21.7,Yes,No
154,2009-01-15,NorfolkIsland,18.5,23.6,0.0,8.0,12.7,SE,37.0,SSE,SE,24.0,24.0,64.0,69.0,1015.3,1015.0,1.0,2.0,21.4,22.4,No,No
